INVENTORY_ID,JURISDICTION,OWNER_TYPE,OWNER_NAME,STANDARD_TYPE,STANDARD_VERSION,STANDARD_ID,STANDARD_REVISION,STANDARD_MANUAL_NAME,SRC_DATA_FORMAT,PRODUCTION_YEARS,PUBLICATION_DATE,ACQUISITION_DATE,ACQUISITION_TYPE,ACQUISITION_LINKS,CONTACT_INFO,DATA_AVAILABILITY,REDISTRIBUTION,PERMISSION,LICENSE_AGREEMENT,LICENSE_AGREEMENT_URL,PHOTO_YEAR_SRC,PHOTO_YEAR_START,PHOTO_YEAR_END,COMMENT,CAS04_EXPORT_SRC_SCRIPT,CAS04_FILE_LOCATION,CAS02,CAS03,CAS04,CAS05_INITIAL,CAS05_TEMPORAL
AB11,Alberta,PROV_GOV,CROWN_WELWOOD,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_E00,UNKNOWN_VALUE,UNKNOWN_VALUE,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1987,2001,Received under BEEST project,Export_ABCROWNFMA_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/CROWNFMA/Weldwood,YES,YES,YES,YES,YES
AB12,Alberta,PROV_GOV,CROWN_WEYERHAUSER,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_E00,UNKNOWN_VALUE,UNKNOWN_VALUE,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1988,2003,Not used in CASFRI v3. Received under BEEST project,NOT_APPLICABLE,CASFRI/FRIs/AB/SourceDataset/v.00.03,YES,NO,NO,NO,YES
AB13,Alberta,PROV_GOV,CROWN_FIRSTNATION,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_E00,UNKNOWN_VALUE,UNKNOWN_VALUE,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1987,2000,Not used in CASFRI v3. Received under BEEST project,NOT_APPLICABLE,CASFRI/FRIs/AB/SourceDataset/v.00.03,YES,NO,NO,NO,YES
AB14,Alberta,INDUSTRY,ALPAC,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_E00,UNKNOWN_VALUE,UNKNOWN_VALUE,2/27/2009,DVD,NOT_APPLICABLE,Gido from Timberline Natural resource group,Direct contact,REQUIRES_AGREEMENT,RESTRICTED ,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1988,2000,,Export_AB0014_Alpac_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/NONGOV/Alpac/prior_2012,YES,YES,YES,YES,YES
AB15,Alberta,INDUSTRY,CALLING_LAKE,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1990,1998,Not used in CASFRI v3. ,NOT_APPLICABLE,CASFRI/FRIs/AB/SourceDataset/v.00.03,YES,NO,NO,NO,YES
AB16,Alberta,INDUSTRY,CANFOR,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1988,1995,,Export_AB0016_CANFOR_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/NONGOV/Canfor,YES,YES,YES,YES,YES
AB17,Alberta,INDUSTRY,DAISHOWA,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,-8886,-8886,Not used in CASFRI v3. ,NOT_APPLICABLE,CASFRI/FRIs/AB/SourceDataset/v.00.03,YES,NO,NO,NO,YES
AB18,Alberta,INDUSTRY,DMI,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,2000,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1988,2003,Agreement was with Fiona Schmiegelow and Steve Cumming,Export_AB0018_DMI_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/NONGOV/DMI,YES,YES,YES,YES,YES
AB19,Alberta,INDUSTRY,HR_FIRE,AVI,2.1,AVI01,,AVI 2.1 manual,SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1993,1998,Not used in CASFRI v3. ,NOT_APPLICABLE,CASFRI/FRIs/AB/SourceDataset/v.00.03,YES,NO,NO,NO,YES
AB20,Alberta,INDUSTRY,SLAVELAKEPULP,AVI,2.1 other,AVI02,other,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,2000,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1991,2001,Agreement was with Fiona Schmiegelow and Steve Cumming,Export_AB0020_SlaveLake_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/NONGOV/SlaveLakePulp,YES,YES,YES,YES,YES
AB21,Alberta,INDUSTRY,TOLKO,AVI,2.1,AVI01,,AVI 2.1 manual,SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1988,2003,,Export_AB0021_Tolko_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/NONGOV/Tolko/avi.shp,YES,YES,YES,YES,YES
AB22,Alberta,INDUSTRY,WEYCO,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,3/21/2002,UNKNOWN_VALUE,NOT_APPLICABLE,Fiona Schmiegelow,Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1991,2000,Not used in CASFRI v3. ,NOT_APPLICABLE,CASFRI/FRIs/AB/SourceDataset/v.00.03,YES,NO,NO,NO,YES
AB23,Alberta,INDUSTRY,WEYCO_P3,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,-8886,-8886,Not used in CASFRI v3. ,NOT_APPLICABLE,CASFRI/FRIs/AB/SourceDataset/v.00.03,YES,NO,NO,NO,YES
AB24,Alberta,INDUSTRY,WEYERHAUSER,AVI,2.1,AVI01,,AVI 2.1 manual,SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1987,2003,Agreement was with Fiona Schmiegelow and Steve Cumming,Export_AB0024_Weyerhauser.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/AB_NONGOV/Weyerhauser/AVI.shp,YES,YES,YES,YES,YES
AB25,Alberta,PROV_GOV,CROWN,AVI,2.1 With Revisions,AVI03,With revisions,AVI 2.1 manual,SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,4/22/2012,FTP,UNKNOWN_VALUE,"Heather Evans. GIS technologist. Alberta Sustainable Resource Development. > 9820 - 106 Street NW,  Edmonton, Alberta T5K 2J6.  Phone: (780) 427-7374. Email: heather.evans@gov.ab.ca",Direct contact,REQUIRES_AGREEMENT,RESTRICTED,LICENSE_AGREEMENT,NOT_APPLICABLE,SPATIAL_JOIN,1987,2008,,Export_ABCROWN_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/CROWN,NO,YES,YES,YES,YES
AB26,Alberta,INDUSTRY,CENOVUS,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_GEODATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,12/15/2014,FTP,UNKNOWN_VALUE,"Michelle Blouin, Environmental GIS Analyst. Phone: (403) 766-2658, Email: michelle.blouin@cenovus.com",Direct contact,NOT_SPECIFIED,RESTRICTED,EMAIL_AGREEMENT,NOT_APPLICABLE,UNKNOWN_VALUE,-8886,-8886,,Export_AB0026_Cenovus_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/AVI_Cenovus/AVI_Cenovus_CLAWR_20141211.gdb,NO,NO,YES,YES,YES
AB27,Alberta,INDUSTRY,ALPAC,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_GEODATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,4/2/2014,DVD,UNKNOWN_VALUE,"Dave Cheyne, Management Forester Woodlands. Alberta Pacific Fores Industries Inc. Phone: 780 525-8261. Email: dave.cheyne@alpac.ca",Direct contact,NOT_SPECIFIED,RESTRICTED,EMAIL_AGREEMENT,NOT_APPLICABLE,UNKNOWN_VALUE,-8886,-8886,,Export_AB0027_AlpacAVI2012_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/ALPAC/gdb/avi_2012.gdb,NO,NO,YES,YES,YES
AB28,Alberta,INDUSTRY,ALPAC,AVI,2.1,AVI01,,AVI 2.1 manual,ACCESS_DATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,4/2/2014,DVD,UNKNOWN_VALUE,"Dave Cheyne, Management Forester Woodlands. Alberta Pacific Fores Industries Inc. Phone: 780 525-8261. Email: dave.cheyne@alpac.ca",Direct contact,NOT_SPECIFIED,RESTRICTED,EMAIL_AGREEMENT,NOT_APPLICABLE,UNKNOWN_VALUE,-8886,-8886,,Export_AB0028_AlpacS1493comp_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/NONGOV/Alpac/S14_93comp,NO,NO,YES,YES,YES
BC01,British Columbia,PROV_GOV,BCGOV FOR Forest Analysis and Inventory Branch,FIP,,FIP01,,FIP data dictionnary,ESRI_GEODATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,5/14/2012,HTTP,https://catalogue.data.gov.bc.ca/dataset/vri-historical-vegetation-resource-inventory-2002-2018-,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736   ",Open access,OPEN_WITH_ACKNOWLEDGMENT,UNRESTRICTED,LICENSE_AGREEMENT,NOT_APPLICABLE,VALUE_PER_STAND,1953,2008,A VRI_FIP equivalent tables are found in the same folder than the documentation.,NOT_APPLICABLE,CASFRI/FRIs/BC/SourceDataset/v.00.03,YES,YES,NO,NO,YES
BC02,British Columbia,PROV_GOV,BCGOV FOR Forest Analysis and Inventory Branch,VRI,,VRI01,,VRI data dictionnary,ESRI_GEODATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,5/14/2012,HTTP,https://catalogue.data.gov.bc.ca/dataset/vri-historical-vegetation-resource-inventory-2002-2018-,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736   ",Open access,OPEN_WITH_ACKNOWLEDGMENT,UNRESTRICTED,LICENSE_AGREEMENT,NOT_APPLICABLE,VALUE_PER_STAND,1955,2011,,NOT_APPLICABLE,CASFRI/FRIs/BC/SourceDataset/v.00.03,YES,YES,NO,NO,YES
BC03,British Columbia,PROV_GOV,BCGOV FOR Forest Analysis and Inventory Branch,I,,BCI01,,UNKNOWN_VALUE,ESRI_GEODATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,5/14/2012,HTTP,https://catalogue.data.gov.bc.ca/dataset/vri-historical-vegetation-resource-inventory-2002-2018-,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736   ",Open access,OPEN_WITH_ACKNOWLEDGMENT,UNRESTRICTED,LICENSE_AGREEMENT,NOT_APPLICABLE,VALUE_PER_STAND,-8886,-8886,Not used in CASFRI v3.  UNKNOWN_VALUE standard,NOT_APPLICABLE,CASFRI/FRIs/BC/SourceDataset/v.00.03,YES,NO,NO,NO,YES
BC04,British Columbia,PROV_GOV,BCGOV FOR Forest Analysis and Inventory Branch,FIP,,FIP01,,FIP data dictionnary,ESRI_GEODATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,5/27/2014,HTTP,https://catalogue.data.gov.bc.ca/dataset/vri-historical-vegetation-resource-inventory-2002-2018-,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736   ",Open access,OPEN_WITH_ACKNOWLEDGMENT,UNRESTRICTED,LICENSE_AGREEMENT,NOT_APPLICABLE,VALUE_PER_STAND,1953,2008,A VRI_FIP equivalent tables are found in the same folder than the documentation. This inventory only include layer 1,Export_BCgov02_V4.py,CASFRI/FRIs/BC/SourceDataset/v.00.04/BCGOV/VEG_COMP_LYR_R1_POLY.gdb,NO,NO,YES,NO,YES
BC05,British Columbia,PROV_GOV,BCGOV FOR Forest Analysis and Inventory Branch,VRI,,VRI01,,VRI data dictionnary,ESRI_GEODATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,5/27/2014,HTTP,https://catalogue.data.gov.bc.ca/dataset/vri-historical-vegetation-resource-inventory-2002-2018-,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736   ",Open access,OPEN_WITH_ACKNOWLEDGMENT,UNRESTRICTED,LICENSE_AGREEMENT,NOT_APPLICABLE,VALUE_PER_STAND,1955,2011,This inventory only include layer 1,Export_BCgov02_V4.py,CASFRI/FRIs/BC/SourceDataset/v.00.04/BCGOV/VEG_COMP_LYR_R1_POLY.gdb,NO,NO,YES,NO,YES
BC06,British Columbia,PROV_GOV,BCGOV FOR Forest Analysis and Inventory Branch,I,,BCI01,,UNKNOWN_VALUE,ESRI_GEODATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,5/27/2014,HTTP,https://catalogue.data.gov.bc.ca/dataset/vri-historical-vegetation-resource-inventory-2002-2018-,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736   ",Open access,OPEN_WITH_ACKNOWLEDGMENT,UNRESTRICTED,LICENSE_AGREEMENT,NOT_APPLICABLE,UNKNOWN_VALUE,-8886,-8886,Not used in CASFRI v4.  UNKNOWN_VALUE standard This inventory only include layer 1,NOT_APPLICABLE,,NO,NO,NO,NO,YES
BC07,British Columbia,INDUSTRY,CANFOR,VRI,,VRI01,,VRI data dictionnary,ESRI_GEODATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,4/15/2014,FTP,UNKNOWN_VALUE,"Carol Norris or Don Rosen, Forestry Operations Supervisor, Canadian Forest Products Ltd. - Chetwynd. Email: don.rosen@canfor.com, Phone: 250-788-4304 ",Direct contact,REQUIRES_AGREEMENT,RESTRICTED,LICENSE_AGREEMENT,NOT_APPLICABLE,GLOBAL_INVENTORY,1993,1998,"PHOTO_YEAR was provided by  Carol Norris: ""I had a quick look through the airphotos we have here and found many dated Aug 1993/Aug 1994, and another batch labelled TFL 48 Phase II Sampling 1998""",Export_BCtfl4801_V4.py,CASFRI/FRIs/BC/SourceDataset/v.00.04/cfp_tfl48_vri/cfp_tfl48_vri.gdb,NO,NO,YES,NO,YES
