rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
15,SPECIES_2,text,"notNull(species_2);notEmpty(species_2|NULL_VALUE);matchTable(species_2, 'translation', 'species_code_mapping', 'yt_species_codes', TRUE)","lookupText(species_2, 'translation', 'species_code_mapping', 'yt_species_codes', 'casfri_species_codes', TRUE)",Maps source value to SPECIES_2 using lookup table,TRUE
16,SPECIES_PER_2,integer,"notNull(species_per_2);isNumeric(species_per_2);isGreaterThan(species_per_2, 1|-9999);isBetween(species_per_2,1,100)",copyInt(species_per_2),Copies source value to SPECIES_PER_2,TRUE
17,SPECIES_3,text,"notNull(species_3);notEmpty(species_3|NULL_VALUE);matchTable(species_3, 'translation', 'species_code_mapping', 'yt_species_codes', TRUE)","lookupText(species_3, 'translation', 'species_code_mapping', 'yt_species_codes', 'casfri_species_codes', TRUE)",Maps source value to SPECIES_3 using lookup table,TRUE
18,SPECIES_PER_3,integer,"notNull(species_per_3);isNumeric(species_per_3);isGreaterThan(species_per_3, 1|-9999);isBetween(species_per_3,1,100)",copyInt(species_per_3),Copies source value to SPECIES_PER_3,TRUE
19,SPECIES_4,text,"notNull(species_4);notEmpty(species_4|NULL_VALUE);matchTable(species_4, 'translation', 'species_code_mapping', 'yt_species_codes', TRUE)","lookupText(species_4, 'translation', 'species_code_mapping', 'yt_species_codes', 'casfri_species_codes', TRUE)",Maps source value to SPECIES_4 using lookup table,TRUE
20,SPECIES_PER_4,integer,"notNull(species_per_4);isNumeric(species_per_4);isGreaterThan(species_per_4, 1|-9999);isBetween(species_per_4,1,100)",copyInt(species_per_4),Copies source value to SPECIES_PER_4,TRUE
21,SPECIES_5,text,false(),nothingText(),Attribute does not occur,TRUE
22,SPECIES_PER_5,integer,false(),nothingInt(),Attribute does not occur,TRUE
23,SPECIES_6,text,false(),nothingText(),Attribute does not occur,TRUE
24,SPECIES_PER_6,integer,false(),nothingInt(),Attribute does not occur,TRUE
25,SPECIES_7,text,false(),nothingText(),Attribute does not occur,TRUE
26,SPECIES_PER_7,integer,false(),nothingInt(),Attribute does not occur,TRUE
27,SPECIES_8,text,false(),nothingText(),Attribute does not occur,TRUE
28,SPECIES_PER_8,integer,false(),nothingInt(),Attribute does not occur,TRUE
29,SPECIES_9,text,false(),nothingText(),Attribute does not occur,TRUE
30,SPECIES_PER_9,integer,false(),nothingInt(),Attribute does not occur,TRUE
31,SPECIES_10,text,false(),nothingText(),Attribute does not occur,TRUE
32,SPECIES_PER_10,integer,false(),nothingInt(),Attribute does not occur,TRUE
33,ORIGIN_UPPER,integer,"notNull({age, ref_year});isInt(age);isInt(ref_year);isGreaterThan(ref_year, 1|-9997);isXMinusYBetween(ref_year, age, 1000, 2020)","XMinusYInt(ref_year, age)","Calculates ORIGIN_UPPER as reference year minus age. Validation checks both attributes have a value, returns null_value if ref_year is zero.",TRUE
34,ORIGIN_LOWER,integer,"notNull({age, ref_year});isInt(age);isInt(ref_year);isGreaterThan(ref_year, 1|-9997);isXMinusYBetween(ref_year, age, 1000, 2020)","XMinusYInt(ref_year, age)","Calculates ORIGIN_LOWER as reference year minus age. Validation checks both attributes have a value, returns null_value if ref_year is zero.",TRUE
35,SITE_CLASS,text,"notNull(site_class);notEmpty(site_class);matchList(site_class,{'Low','Poor','Medium','Good'})","mapText(site_class, {'Low','Poor','Medium','Good'}, {'POOR','POOR','MEDIUM','GOOD'})",Maps source value to SITE_CLASS,TRUE
36,SITE_INDEX,double precision,"notNull(site_index);isNumeric(site_index);isBetween(site_index, 0.1, 40)",copyDouble(site_index),Copies source value to SITE_INDEX,TRUE
