rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
19,SPECIES_4,text,false(),nothingText(),Maps source value to SPECIES_4 using lookup table,TRUE
20,SPECIES_PER_4,integer,false(),nothingInt(),Maps source value to SPECIES_PER_4 by multiplying by 10. Layer 2 only has 2 species so rules for species 3 and 4 only need to account for layer 1.,TRUE
21,SPECIES_5,text,false(),nothingText(),Attribute does not occur,TRUE
22,SPECIES_PER_5,integer,false(),nothingInt(),Attribute does not occur,TRUE
23,SPECIES_6,text,false(),nothingText(),Attribute does not occur,TRUE
24,SPECIES_PER_6,integer,false(),nothingInt(),Attribute does not occur,TRUE
25,SPECIES_7,text,false(),nothingText(),Attribute does not occur,TRUE
26,SPECIES_PER_7,integer,false(),nothingInt(),Attribute does not occur,TRUE
27,SPECIES_8,text,false(),nothingText(),Attribute does not occur,TRUE
28,SPECIES_PER_8,integer,false(),nothingInt(),Attribute does not occur,TRUE
29,SPECIES_9,text,false(),nothingText(),Attribute does not occur,TRUE
30,SPECIES_PER_9,integer,false(),nothingInt(),Attribute does not occur,TRUE
31,SPECIES_10,text,false(),nothingText(),Attribute does not occur,TRUE
32,SPECIES_PER_10,integer,false(),nothingInt(),Attribute does not occur,TRUE
33,ORIGIN_UPPER,integer,"notNull(age_class);notEmpty(age_class|-8888);isNumeric(age_class);matchList(age_class,{1,2,3,4,5,6,7,8,9}|-9997)","mapInt(age_class, {1,2,3,4,5,6,7,8,9}, {20,40,60,80,100,120,140,160,2000})",Calculates origin as photo year minus age. Catch zero values as nulls and 999 as unknown values,TRUE
34,ORIGIN_LOWER,integer,"notNull(age_class);notEmpty(age_class|-8888);isNumeric(age_class);matchList(age_class,{1,2,3,4,5,6,7,8,9}|-9997)","mapInt(age_class, {1,2,3,4,5,6,7,8,9}, {0,21,41,61,81,101,121,141,161})",Calculates origin as photo year minus age. Catch zero values as nulls and 999 as unknown values,TRUE
35,SITE_CLASS,text,"notNull({site});notEmpty({site});matchList({site}, {'p','P','m','M','g','G','h','H'})","mapText({site}, {'p','P','m','M','g','G','h','H'}, {'POOR','POOR','MEDIUM','MEDIUM','GOOD','GOOD','GOOD','GOOD'})","Concatenates values from 2 attributes and maps to SITE_CLASS using list of values. Usually only one of the attributes will occur per row in the source data, the other will be set to 0. Target values are based on the translation for the non-zero value.",TRUE
36,SITE_INDEX,double precision,false(),nothingDouble(),Attribute does not occur,TRUE
