INVENTORY_ID,JURISDICTION,OWNER_TYPE,OWNER_NAME,STANDARD_TYPE,STANDARD_VERSION,STANDARD_ID,STANDARD_REVISION,DOCUMENTATION_TITLES,SRC_DATA_FORMAT,PRODUCTION_YEARS,PUBLICATION_DATE,ACQUISITION_PERSON,ACQUISITION_DATE,ACQUISITION_TYPE,ACQUISITION_LINKS,CONTACT_INFO,DATA_AVAILABILITY,REDISTRIBUTION,PERMISSION,LICENSE_AGREEMENT,LICENSE_AGREEMENT_URL,PHOTO_YEAR_SRC,PHOTO_YEAR_START,PHOTO_YEAR_END,COMMENT,CAS04_EXPORT_SRC_SCRIPT,CAS04_FILE_LOCATION,CAS02,CAS03,CAS04,CAS05_PLANNED,CAS05_DELIVERED
AB11,Alberta,PROV_GOV,CROWN_WELWOOD,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_E00,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1987,2001,Received under BEEST project,Export_ABCROWNFMA_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/CROWNFMA/Weldwood,YES,YES,YES,YES,YES
AB12,Alberta,PROV_GOV,CROWN_WEYERHAUSER,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_E00,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1988,2003,Not used in CASFRI v3. Received under BEEST project,NOT_APPLICABLE,CASFRI/FRIs/AB/SourceDataset/v.00.03,YES,NO,NO,NO,NO
AB13,Alberta,PROV_GOV,CROWN_FIRSTNATION,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_E00,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1987,2000,Not used in CASFRI v3. Received under BEEST project,NOT_APPLICABLE,CASFRI/FRIs/AB/SourceDataset/v.00.03,YES,NO,NO,NO,NO
AB14,Alberta,INDUSTRY,ALPAC,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_COVERAGE and INFO_TABLE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2/27/2009,DVD,NOT_APPLICABLE,Gido from Timberline Natural resource group,DIRECT_CONTACT,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1988,2000,Info tables (forest attributes) couldn't be loaded using GDAL. We used a PYTHON script to join the forest attributes to the geometries and exported the output into shapefile. ,Export_AB0014_Alpac_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/NONGOV/Alpac/prior_2012,YES,YES,YES,YES,NO
AB15,Alberta,INDUSTRY,CALLING_LAKE,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1990,1998,Not used in CASFRI v3. ,NOT_APPLICABLE,CASFRI/FRIs/AB/SourceDataset/v.00.03,YES,NO,NO,NO,NO
AB16,Alberta,INDUSTRY,CANFOR,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1993,1995,,Export_AB0016_CANFOR_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/NONGOV/Canfor,YES,YES,YES,YES,YES
AB17,Alberta,INDUSTRY,DAISHOWA,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,-8886,-8886,Not used in CASFRI v3. ,NOT_APPLICABLE,CASFRI/FRIs/AB/SourceDataset/v.00.03,YES,NO,NO,NO,NO
AB18,Alberta,INDUSTRY,DMI,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2000,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1988,2003,Agreement was with Fiona Schmiegelow and Steve Cumming,Export_AB0018_DMI_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/NONGOV/DMI,YES,YES,YES,YES,NO
AB19,Alberta,INDUSTRY,HR_FIRE,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1993,1998,Not used in CASFRI v3. ,NOT_APPLICABLE,CASFRI/FRIs/AB/SourceDataset/v.00.03,YES,NO,NO,NO,NO
AB20,Alberta,INDUSTRY,SLAVELAKEPULP,AVI,2.1 other,AVI02,other,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2000,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1991,2001,Agreement was with Fiona Schmiegelow and Steve Cumming,Export_AB0020_SlaveLake_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/NONGOV/SlaveLakePulp,YES,YES,YES,YES,NO
AB21,Alberta,INDUSTRY,TOLKO,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1988,2003,,Export_AB0021_Tolko_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/NONGOV/Tolko/avi.shp,YES,YES,YES,YES,NO
AB22,Alberta,INDUSTRY,WEYCO,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,3/21/2002,UNKNOWN_VALUE,NOT_APPLICABLE,Fiona Schmiegelow,UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1991,2000,Not used in CASFRI v3. ,NOT_APPLICABLE,CASFRI/FRIs/AB/SourceDataset/v.00.03,YES,NO,NO,NO,NO
AB23,Alberta,INDUSTRY,WEYCO_P3,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,-8886,-8886,Not used in CASFRI v3. ,NOT_APPLICABLE,CASFRI/FRIs/AB/SourceDataset/v.00.03,YES,NO,NO,NO,NO
AB24,Alberta,INDUSTRY,WEYERHAUSER,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1987,2003,Agreement was with Fiona Schmiegelow and Steve Cumming,Export_AB0024_Weyerhauser.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/AB_NONGOV/Weyerhauser/AVI.shp,YES,YES,YES,YES,NO
AB25,Alberta,PROV_GOV,CROWN,AVI,2.1 With Revisions,AVI03,With revisions,AVI 2.1 manual,SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,4/22/2012,TEMPORARY_FTP,UNKNOWN_VALUE,"Heather Evans. GIS technologist. Alberta Sustainable Resource Development. > 9820 - 106 Street NW,  Edmonton, Alberta T5K 2J6.  Phone: (780) 427-7374. Email: heather.evans@gov.ab.ca",DIRECT_CONTACT,REQUIRES_AGREEMENT,RESTRICTED,LICENSE_AGREEMENT,NOT_APPLICABLE,SPATIAL_JOIN,1987,2008,,Export_ABCROWN_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/CROWN,NO,YES,YES,YES,YES
AB26,Alberta,INDUSTRY,CENOVUS,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_GEODATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,12/15/2014,FTP,UNKNOWN_VALUE,"Michelle Blouin, Environmental GIS Analyst. Phone: (403) 766-2658, Email: michelle.blouin@cenovus.com",DIRECT_CONTACT,NOT_SPECIFIED,RESTRICTED,EMAIL_AGREEMENT,NOT_APPLICABLE,UNKNOWN_VALUE,-8886,-8886,,Export_AB0026_Cenovus_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/AVI_Cenovus/AVI_Cenovus_CLAWR_20141211.gdb,NO,NO,YES,YES,NO
AB27,Alberta,INDUSTRY,ALPAC,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_GEODATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,4/2/2014,DVD,NOT_APPLICABLE,"Dave Cheyne, Management Forester Woodlands. Alberta Pacific Fores Industries Inc. Phone: 780 525-8261. Email: dave.cheyne@alpac.ca",DIRECT_CONTACT,NOT_SPECIFIED,RESTRICTED,EMAIL_AGREEMENT,NOT_APPLICABLE,UNKNOWN_VALUE,-8886,-8886,,Export_AB0027_AlpacAVI2012_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/ALPAC/gdb/avi_2012.gdb,NO,NO,YES,YES,NO
AB28,Alberta,INDUSTRY,ALPAC,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ACCESS_DATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,4/2/2014,DVD,NOT_APPLICABLE,"Dave Cheyne, Management Forester Woodlands. Alberta Pacific Fores Industries Inc. Phone: 780 525-8261. Email: dave.cheyne@alpac.ca",DIRECT_CONTACT,NOT_SPECIFIED,RESTRICTED,EMAIL_AGREEMENT,NOT_APPLICABLE,UNKNOWN_VALUE,-8886,-8886,,Export_AB0028_AlpacS1493comp_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/NONGOV/Alpac/S14_93comp,NO,NO,YES,YES,NO
AB29,Alberta,PROV_GOV,CROWN,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_GEODATABASE and SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,Marc Edwards,21/10/2020,FTP,ftp://ftp.gov.ab.ca/env/IDPS/2010L04.zip,"Linda Smith, Data Distribution Unit, Strategy and Governace Division, Environment and Parks, Provincial Geospatial Centre, 14th Floor, Oxbridge Place, 9820 - 106 Street NW, Edmonton, Alberta T5K 2J6, Phone: (780) 422-0962, email: linda.smith@gov.ab.ca, Fax:     (780) 422-0712, Order Desk email: AEP.Data@gov.ab.ca",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,LICENSE_AGREEMENT,NOT_APPLICABLE,VALUE_PER_STAND,1987,2014,Publicly available dataset has to be requested via email. Then signed license agreement and received data via ftp.,,,,,,YES,YES
AB30,Alberta,PROV_GOV,CROWN,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_GEODATABASE and SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,Marc Edwards,21/10/2020,FTP,ftp://ftp.gov.ab.ca/env/IDPS/2010L04.zip,"Linda Smith, Data Distribution Unit, Strategy and Governace Division, Environment and Parks, Provincial Geospatial Centre, 14th Floor, Oxbridge Place, 9820 - 106 Street NW, Edmonton, Alberta T5K 2J6, Phone: (780) 422-0962, email: linda.smith@gov.ab.ca, Fax:     (780) 422-0712, Order Desk email: AEP.Data@gov.ab.ca",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,LICENSE_AGREEMENT,NOT_APPLICABLE,UNKNOWN_VALUE,-8886,-8886,Received with AB29. Post inventory cutblock file. Includes cutblock polygons with year of cut. No other information. No photo year attribute.,,,,,,YES,YES
AB31,Alberta,INDUSTRY,ALPAC,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_GEODATABASE and SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,30/11/2021,HTTP,"https://www.dropbox.com/s/z4auc0ajr6a103b/Approved_avi_nad28_and_nad83.zip?dl=0, https://www.dropbox.com/s/33lj2lfmt5cgdct/AVI_nad27_missing_maps.zip?dl=0",John Cosco,DIRECT_CONTACT,NOT_SPECIFIED,RESTRICTED,EMAIL_AGREEMENT,NOT_APPLICABLE,SPATIAL_JOIN,1990,2000,,,,NO,NO,NO,NO,NO
AB32,Alberta,INDUSTRY,ALPAC,SAVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_GEODATABASE and SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,26/11/2021,HTTP,https://www.dropbox.com/s/0hchhmzxipnfyq2/savi_data_fma.zip?dl=0,John Cosco,DIRECT_CONTACT,NOT_SPECIFIED,RESTRICTED,EMAIL_AGREEMENT,NOT_APPLICABLE,SPATIAL_JOIN,2001,2012,,,,NO,NO,NO,NO,NO
BC01,British Columbia,PROV_GOV,BCGOV FOR Forest Analysis and Inventory Branch,FIP,UNKNOWN_VALUE,FIP01,UNKNOWN_VALUE,FIP data dictionnary,ESRI_GEODATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,Melina Houle,5/14/2012,HTTP,https://catalogue.data.gov.bc.ca/dataset/vri-historical-vegetation-resource-inventory-2002-2018-,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736   ",OPEN_ACCESS,OPEN_WITH_ACKNOWLEDGMENT,UNRESTRICTED,LICENSE_AGREEMENT,NOT_APPLICABLE,VALUE_PER_STAND,1953,2008,A VRI_FIP equivalent tables are found in the same folder than the documentation.,NOT_APPLICABLE,CASFRI/FRIs/BC/SourceDataset/v.00.03,YES,YES,NO,NO,NO
