header_id,jurisdiction,owner_type,owner_name,inventory_type,inventory_version,inventory_manual,source_data_format,acquisition_date,data_transfer,received_from,contact_info,data_availability,redistribution,permission,license_agreement,source_data_photoyear,photoyear_start,photoyear_end
AB_0024,AB,INDUSTRY                      ,WEYERHAUSER                                                                                                                                           ,AVI                           ,2.1                           ,AVI 2.1 manual                                    ,Shapefile                     ,2004                          ,Missing                       ,Harry Stelfox                                                                                                                                         ,Unknown                                                                                                                                                                                                                                                                                                                                                       ,Alberta Sustainable Resources Development                                                                                                             ,Needs direct agreement from the owner under the license agreement                                                                                     ,RESTRICTED                                                                                                                                            ,Expired                                                                                                                                               ,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect                                                     ,1987,2003
SK_0002,SK,PROV_GOV                      ,Saskatchewan Ministry of Environment - Island Forest                                                                                                  ,SFVI                          ,NA,SK UTM Data dictionary                            ,Geodatabase                   ,08/07/2014                    ,Link to datasahre download    ,Thomas Gowen                                                                                                                                          ,"Thomas Gowen.Â Government of Saskatchewan,Â Resource Data Technician,Â Forest Service, Ministry of Environment.Â PO Box 3003,Â Prince Albert, CanadaÂ  S6V 6G1 . Phone:Â 306-953-2319                                                                                                                                                                                ",Direct contact                                                                                                                                        ,NA,NA,NA,Included in SIDS. In metadata                                                                                                                         ,2004,2004
AB_0025,AB,PROV_GOV                      ,CROWN                                                                                                                                                 ,AVI                           ,2.1 With Revisions            ,AVI 2.1 manual                                    ,Shapefile                     ,22/04/2012                    ,Alberta ftp site              ,Heather Evans                                                                                                                                         ,"Heather Evans. GIS technologist. Alberta Sustainable Resource Development. > 9820 - 106 Street NW,  Edmonton, Alberta T5K 2J6.  Phone:Â (780) 427-7374. Email: Â heather.evans@gov.ab.ca                                                                                                                                                                        ",Direct contact                                                                                                                                        ,Needs direct agreement from the owner under the license agreement                                                                                     ,RESTRICTED                                                                                                                                            ,License agreement                                                                                                                                     ,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect                                                     ,1987,2008
AB_0026,AB,INDUSTRY                      ,CENOVUS                                                                                                                                               ,AVI                           ,2.1                           ,AVI 2.1 manual                                    ,Geodatabase                   ,15/12/2014                    ,Cenovus ftp site              ,Michelle Blouin                                                                                                                                       ,"Michelle Blouin,Â Environmental GIS Analyst. Phone:Â (403) 766-2658 Â Email:Â michelle.blouin@cenovus.com                                                                                                                                                                                                                                                         ",Direct contact                                                                                                                                        ,Not specified                                                                                                                                         ,RESTRICTED                                                                                                                                            ,Agreement made by email                                                                                                                               ,NA,NA,NA
AB_0027,AB,INDUSTRY                      ,ALPAC                                                                                                                                                 ,AVI                           ,2.1                           ,AVI 2.1 manual                                    ,Geodatabase                   ,02/04/2014                    ,DVD received by mail          ,Dave Cheyne                                                                                                                                           ,"Dave Cheyne, Management Forester Woodlands. Alberta Pacific Fores Industries Inc. Phone: 780 525-8261. Email: dave.cheyne@alpac.ca                                                                                                                                                                                                                            ",Direct contact                                                                                                                                        ,Not specified                                                                                                                                         ,RESTRICTED                                                                                                                                            ,Agreement made by email                                                                                                                               ,Info given in an email by Dave Cheyne                                                                                                                 ,1998,1998
AB_0028,AB,INDUSTRY                      ,ALPAC                                                                                                                                                 ,AVI                           ,2.1                           ,AVI 2.1 manual                                    ,mdb                           ,02/04/2014                    ,DVD received by mail          ,Dave Cheyne                                                                                                                                           ,"Dave Cheyne, Management Forester Woodlands. Alberta Pacific Fores Industries Inc. Phone: 780 525-8261. Email: dave.cheyne@alpac.ca                                                                                                                                                                                                                            ",Direct contact                                                                                                                                        ,Not specified                                                                                                                                         ,RESTRICTED                                                                                                                                            ,Agreement made by email                                                                                                                               ,Info given in an email by Dave Cheyne                                                                                                                 ,1998,1998
SK_0003,SK,PROV_GOV                      ,Saskatchewan Ministry of Environment - Meadow Lake provincial park                                                                                    ,SFVI                          ,NA,SK UTM Data dictionary                            ,Geodatabase                   ,08/07/2014                    ,Link to datasahre download    ,Thomas Gowen                                                                                                                                          ,"Thomas Gowen.Â Government of Saskatchewan,Â Resource Data Technician,Â Forest Service, Ministry of Environment.Â PO Box 3003,Â Prince Albert, CanadaÂ  S6V 6G1 . Phone:Â 306-953-2319                                                                                                                                                                                ",Direct contact                                                                                                                                        ,NA,NA,NA,Included in SIDS. In metadata                                                                                                                         ,2008,2008
BC_0004,BC,PROV_GOV                      ,BCGOV FOR Forest Analysis and Inventory Branch                                                                                                        ,FIP                           ,NA,FIP data dictionnary                              ,Geodatabase                   ,27/05/2014                    ,Direct download               ,download from  http://www.for.gov.bc.ca/hts/vridata/                                                                                                  ,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736                                                                                                                                                                                                                                        ",Open access                                                                                                                                           ,Free with acknowledgment                                                                                                                              ,UNRESTRICTED                                                                                                                                          ,License agreements                                                                                                                                    ,Included in SIDS                                                                                                                                      ,1953,2008
BC_0005,BC,PROV_GOV                      ,BCGOV FOR Forest Analysis and Inventory Branch                                                                                                        ,VRI                           ,NA,VRI data dictionnary                              ,Geodatabase                   ,27/05/2014                    ,Direct download               ,download from  http://www.for.gov.bc.ca/hts/vridata/                                                                                                  ,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736                                                                                                                                                                                                                                        ",Open access                                                                                                                                           ,Free with acknowledgment                                                                                                                              ,UNRESTRICTED                                                                                                                                          ,License agreements                                                                                                                                    ,Included in SIDS                                                                                                                                      ,1955,2011
BC_0006,BC,PROV_GOV                      ,BCGOV FOR Forest Analysis and Inventory Branch                                                                                                        ,I                             ,NA,NA,Geodatabase                   ,27/05/2014                    ,Direct download               ,download from  http://www.for.gov.bc.ca/hts/vridata/                                                                                                  ,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736                                                                                                                                                                                                                                        ",Open access                                                                                                                                           ,Free with acknowledgment                                                                                                                              ,UNRESTRICTED                                                                                                                                          ,License agreements                                                                                                                                    ,Included in SIDS                                                                                                                                      ,NA,NA
BC_0007,BC,INDUSTRY                      ,CANFOR                                                                                                                                                ,VRI                           ,NA,VRI data dictionnary                              ,Geodatabase                   ,15/04/2014                    ,CANFOR ftp site               ,Carol Norris                                                                                                                                          ,"Don Rosen,Â Forestry Operations Supervisor,Â Canadian Forest Products Ltd. - Chetwynd. Email:Â don.rosen@canfor.comÂ PhoneÂ 250-788-4304                                                                                                                                                                                                                           ",Direct contact                                                                                                                                        ,Needs direct agreement from the owner under the license agreement                                                                                     ,RESTRICTED                                                                                                                                            ,License agreement                                                                                                                                     ,NA,NA,NA
MB_0001,MB,INDUSTRY                      ,Tembec                                                                                                                                                ,PRE97                         ,NA,Tembec manual 1.3 1996_97                         ,Shapefile                     ,22/04/2008                    ,Manitoba gov ftp website      ,James Boyd                                                                                                                                            ,"Vince Keenan, Divisional Forested, Tembec Industries Inc. Pine Falls Operations. Box 10, Pine Falls, Mb, R0E 1M0. Phone: 204 367-5224. Email: vince.keenantembec.com. Web Page: www.tembec-frm-manitoba.ca                                                                                                                                                    ",Direct contact                                                                                                                                        ,Not specified                                                                                                                                         ,RESTRICTED to BAM and BEACON project                                                                                                                  ,Agreement made by email                                                                                                                               ,Included in SIDS                                                                                                                                      ,1997,1997
MB_0002,MB,INDUSTRY                      ,LouisianaPacific                                                                                                                                      ,FLI                           ,NA,FLI Users Guide                                   ,e00                           ,10/08/2008                    ,On a DVD                      ,Donna Kopecky                                                                                                                                         ,Donna Kopecky. District Biologist. Louisiana Pacific Corporation. Swan Valley Forest Resources Division. Phone: 1-888-433-4672. Email:Donna.Kopecky@lpcorp.com. Web Page: www.swanvalleyforest.ca or www.lpcorp.co                                                                                                                                            ,Direct contact                                                                                                                                        ,Stored at UofA and mirrored at Laval                                                                                                                  ,RESTRICTED TO BAM project                                                                                                                             ,License agreement. Signed version is with Manitoba LP                                                                                                 ,Independent photoyear given at the inventory level                                                                                                    ,1998,1998
MB_0003,MB,PROV_GOV                      ,"Manitoba Government, Conservation and Water Stewardship,Forestry Branch                                                                               ",FRI                           ,NA,FRI manuals                                       ,shapefile                     ,2088                          ,On a DVD                      ,On DVD from James Boyd                                                                                                                                ,"James Boyd, Inventory Forester. Manitoba Conservation. 200 Saulteaux Crescent. Winnipeg, Mb. Phone :204 945-7951. Email: james.boyd2@gov.mb.ca                                                                                                                                                                                                                ",Direct contact                                                                                                                                        ,Free with acknowledgment                                                                                                                              ,UNRESTRICTED                                                                                                                                          ,License agreements                                                                                                                                    ,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect                                                     ,1969,2001
MB_0004,MB,INDUSTRY                      ,PorcupineBranch (LP)                                                                                                                                  ,FLI                           ,NA,FLI Users Guide                                   ,e00                           ,10/08/2008                    ,On a DVD                      ,Donna Kopecky                                                                                                                                         ,Donna Kopecky. District Biologist. Louisiana Pacific Corporation. Swan Valley Forest Resources Division. Phone: 1-888-433-4672. Email:Donna.Kopecky@lpcorp.com. Web Page: www.swanvalleyforest.ca or www.lpcorp.co                                                                                                                                            ,Direct contact                                                                                                                                        ,Stored at UA                                                                                                                                          ,RESTRICTED TO BAM project                                                                                                                             ,License agreement. Signed version is with Manitoba LP                                                                                                 ,Independent photoyear given at the inventory level                                                                                                    ,2000,2000
MB_0005,MB,PROV_GOV                      ,"Manitoba Government, Conservation and Water Stewardship,Forestry Branch                                                                               ",FRI                           ,NA,FRI manuals                                       ,Geodatabase                   ,summer 2012                   ,On a DVD                      ,On DVD from James Boyd                                                                                                                                ,"James Boyd, Inventory Forester. Manitoba Conservation. 200 Saulteaux Crescent. Winnipeg, Mb. Phone :204 945-7951. Email: james.boyd2@gov.mb.ca                                                                                                                                                                                                                ",Direct contact                                                                                                                                        ,Free with acknowledgment                                                                                                                              ,UNRESTRICTED                                                                                                                                          ,License agreements                                                                                                                                    ,Included in SIDS. Column YEARPHOTO                                                                                                                    ,1969,2001
MB_0006,MB,PROV_GOV                      ,"Manitoba Government, Conservation and Water Stewardship,Forestry Branch                                                                               ",FLI                           ,NA,FLI Users Guide                                   ,Geodatabase                   ,summer 2012                   ,On a DVD                      ,On DVD from James Boyd                                                                                                                                ,"James Boyd, Inventory Forester. Manitoba Conservation. 200 Saulteaux Crescent. Winnipeg, Mb. Phone :204 945-7951. Email: james.boyd2@gov.mb.ca                                                                                                                                                                                                                ",Direct contact                                                                                                                                        ,Free with acknowledgment                                                                                                                              ,UNRESTRICTED                                                                                                                                          ,License agreements                                                                                                                                    ,Included in SIDS. Column YEARPHOTO                                                                                                                    ,1969,2001
MB_0007,MB,INDUSTRY                      ,High Rock                                                                                                                                             ,FLI                           ,NA,FLI Users Guide                                   ,Geodatabase                   ,13/08/2013                    ,Steve ftp site                ,Tony Viveiros                                                                                                                                         ,"Tony Viveiros, GISP.Â GIS Database Manager,Â Conservation and Water Stewardship.Â Forestry Branch/GeoManitoba.Â Box 70 - 200 Saulteaux crescent,Â Winnipeg,Â MB,Â R3J 3W3.Â Phone:Â 204-806-5848,Â Email:Â antonio.viveiros@gov.mb.ca                                                                                                                                    ",Direct contact                                                                                                                                        ,Not specified                                                                                                                                         ,Not specified                                                                                                                                         ,Not specified                                                                                                                                         ,Included in SIDS                                                                                                                                      ,2007,2009
NB_0001,NB,PROV_GOV                      ,New Brunswick Natural Resources                                                                                                                       ,NA,With Revisions                ,NB Natural Resource data dictionary               ,Shapefile                     ,21/03/2012                    ,FTP site ( ftp://ftp.gnb.ca)  ,"email: GisÃ¨le Gaudet, Natural resources. Phone: 506 453-2183. email: gisele.gaudet@gnb.ca                                                             ","GisÃ¨le Gaudet, Natural resources. Phone: 506 453-2183. email: gisele.gaudet@gnb.ca                                                                                                                                                                                                                                                                            ",Adminitsration process                                                                                                                                ,Needs direct agreement from the owner under point 2.5 of the license agreement                                                                        ,RESTRICTED                                                                                                                                            ,Licenses agreements                                                                                                                                   ,Included in SIDS                                                                                                                                      ,1981,2010
NL_0001,NL,PROV_GOV                      ,Newfoundland/Labrador                                                                                                                                 ,Forest Inventory              ,With Revisions                ,NL Data Dictionary                                ,ESRI Coverage                 ,12/08/2009                    ,On a DVD                      ,Scott Payne                                                                                                                                           ,"Scott Payne, Department of Natural Resources, P.O. Box 2006, Fortis Building, 4 Herald Avenue, Corner Brook,Â NL. A2H 6J8. Phone: (709) 637-2353. Fax: (709) 634-4378. E-mail:Â sepayne@gov.nl.ca                                                                                                                                                               ",Direct contact                                                                                                                                        ,Redistribution for BEACON and BAM projects                                                                                                            ,RESTRICTED                                                                                                                                            ,NL agreement made by email                                                                                                                            ,Independent shapefile provides by the province                                                                                                        ,1978,2006
NS_0001,NS,PROV_GOV                      ,Nova Scotia Department of Natural Resources                                                                                                           ,Forest Inventory              ,NA,Forest inventory manual                           ,Shapefile                     ,27/01/2012                    ,Direct download               ,downloaded from: http://novascotia.ca/natr/forestry/gis/licence.asp?url=downloads.asp                                                                 ,"Data Distributor, P.O. Box 68 Truro, N.S. B2N 5B8. Telephone: 902-893-5655. Fax: 902-893-6102. E-Mail: turnerca@gov.ns.ca                                                                                                                                                                                                                                     ",Open access                                                                                                                                           ,Free with acknowledgment                                                                                                                              ,UNRESTRICTED                                                                                                                                          ,License agreement                                                                                                                                     ,Included in SIDS                                                                                                                                      ,1988,2006
NS_0002,NS,PROV_GOV                      ,Nova Scotia Department of Natural Resources                                                                                                           ,Forest Inventory              ,NA,NA,Geodatabase                   ,17/10/2014                    ,Direct download               ,Direct download                                                                                                                                       ,"Data Distributor, P.O. Box 68 Truro, N.S. B2N 5B8. Telephone: 902-893-5655. Fax: 902-893-6102. E-Mail: turnerca@gov.ns.ca                                                                                                                                                                                                                                     ",Open access                                                                                                                                           ,Free with acknowledgment                                                                                                                              ,UNRESTRICTED                                                                                                                                          ,License agreement                                                                                                                                     ,Included in SIDS                                                                                                                                      ,1988,2008
NT_0001,NT,TERRITORY                     ,"Government of Northwestern Territories, Environment and Natural Resources, Forest Managment Division                                                  ",NWTFVI                        ,3.0                           ,FVI manual v3.0                                   ,Shapefile                     ,18/03/2008                    ,By email                      ,email: Lisa Smith                                                                                                                                     ,"Lisa Smith, Inventory and Analysis Forester Forest Resources, Forest Management Division Department of Environment and Natural Resources Government of the NWT Box 4354, Lot 173 Hay River Reserve Hay River,Â NTÂ Â X0E 1G3. Tel:Â (867) 874-2009. Fax:Â (867) 874-6236. email:Â Lisa_Smith@gov.nt.ca                                                              ",Direct contact                                                                                                                                        ,Needs direct agreement from the owner under point 4 of the license agreement                                                                          ,RESTRICTED                                                                                                                                            ,License agreement expire April 30th 2014                                                                                                              ,Independent photoyear given at the project level                                                                                                      ,1960,2006
NT_0002,NT,TERRITORY                     ,"Government of Northwestern Territories, Environment and Natural Resources, Forest Managment Division                                                  ",NWTFVI                        ,3.0                           ,FVI manual v3.0                                   ,Geodatabase                   ,06/03/2015                    ,Datashare website             ,email: Kathleen Groenewegen                                                                                                                           ,"Tom Lakusta,Â Manager, Forest Resources.Â Forest Management DivisionÂ ,Â Environment and Natural Resources.Â Government of the Northwest Territories.Â Box 4354, #173 Hay River Dene ReserveÂ Hay River,Â NTÂ X0E 1G3.Â Tel:Â Â 867-874-2009.Â E-mail:Â Â tom_lakusta@gov.nt.ca                                                                                              ",Direct contact                                                                                                                                        ,Needs direct agreement from the owner under point 4 of the license agreement                                                                          ,RESTRICTED                                                                                                                                            ,Not specified                                                                                                                                         ,Independent photoyear given at the project level in the Inventory_Extent layer                                                                        ,1960,2011
ON_0001,ON,PROV_GOV                      ,Ontario Ministry of Natural Resources                                                                                                                 ,FRI-FIM                       ,FIM1                          ,FIM technical specifications                      ,DB Access and shapefile       ,20/09/2009                    ,On a DVD                      ,email: Larry Watkins                                                                                                                                  ,Larry Watkins. Email: larry.watkins@ontario.ca                                                                                                                                                                                                                                                                                                                ,Adminitsration process                                                                                                                                ,Needs direct agreement from the owner under point 9 of the license agreement (Intellectual property)                                                  ,RESTRICTED                                                                                                                                            ,License agreement not signed                                                                                                                          ,Included in SIDS                                                                                                                                      ,1957,2009
PC_0001,PC,FED_GOV (PANP)                ,Park Canada                                                                                                                                           ,NA,NA,PANP Code interpretations                         ,Coverage                      ,Sep-09                        ,Unknown                       ,Jeff Wier                                                                                                                                             ,Â jeff.wier@pc.gc.ca                                                                                                                                                                                                                                                                                                                                           ,Direct contact                                                                                                                                        ,Unknown                                                                                                                                               ,Unknown                                                                                                                                               ,NA,Independent photoyear given at the inventory level                                                                                                    ,1968,1968
PC_0002,PC,FED_GOV (WBNP)                ,Park Canada                                                                                                                                           ,NA,NA,WBNPBiophysical dictionnary                       ,Shapefile                     ,21/04/2008                    ,by email                      ,email: Dawn Andrews                                                                                                                                   ,"Â Dawn Andrews. Ecosystem Geomatic Technician. Southwestern NWT Field unit. Park Canada Box 750 - 149 McDougal Rd, Fort Smith, NWT, X0E 0P0. email: Dawn.Andrews@pc.gc.ca. Phone: 867 872-7936                                                                                                                                                                 ",Direct contact                                                                                                                                        ,Not specify                                                                                                                                           ,RESTRICTED                                                                                                                                            ,License agreement                                                                                                                                     ,Independent photoyear given at the inventory level                                                                                                    ,1975,1979
PE_0001,PE,PROV_GOV                      ,"PEI Department of Environment, Energy & Forestry                                                                                                      ",FI                            ,1990                          ,PE Documentations                                 ,Shapefile                     ,07/02/2012                    ,Direct download               ,downloaded from: http://www.gov.pe.ca/gis/index.php3?number=77555&lang=E                                                                              ,"PEI Dept of Environment, Energy & Forestry, Forests, Fish & Wildlife Division, c/o Mary Lynn McCourt, GIS Supervisor, PO Box 2000, Charlottetown, PEI C1A 7N8, Canada. Phone: 902 569-7598 . FAX:902-368-4713. email:mlmccourt@gov.pe.ca                                                                                                                      ",Open access                                                                                                                                           ,Needs direct agreement from the owner                                                                                                                 ,RESTRICTED                                                                                                                                            ,License agreement                                                                                                                                     ,Independent photoyear given at the inventory level                                                                                                    ,1990,1990
QC_0001,QC,PROV_GOV                      ,MinistÃ¨re des Ressources Naturelles et de la Faune                                                                                                    ,TIE                           ,3rd                           ,Norme-cartographie-ecoforestiere 2009             ,Shapefile                     ,26/06/2008                    ,Download                      ,"Transferred by Maxime Drouin, MRNF geomatic technologist                                                                                              ","Jean-Pierre Saucier and Robert Jobidon. Direction des inventaires forestiers. MinistÃ¨re des Ressources naturelles et de la Faune. 880 chemin Ste-Foy, QuÃ©bec, Qc G1S 4X4. Phone (418) 627-8669 poste 4279. Email: jean.pierre.saucier@mrnf.gouv.qc.ca.  Robert.Jobidon@mrnf.gouv.qc.ca                                                                        ",Adminitsration process                                                                                                                                ,Needs direct agreement from the owner                                                                                                                 ,RESTRICTED                                                                                                                                            ,Expired. License agreement signed is with MRNF.                                                                                                       ,Independent shapefile provides by the province. Fetch at the mapsheet level by a join                                                                 ,1990,2001
QC_0002,QC,PROV_GOV                      ,MinistÃ¨re des Ressources Naturelles et de la Faune                                                                                                    ,TIE                           ,4th                           ,Normes de stratification ecoforestiere 2013       ,Geodatabase                   ,23/01/2013                    ,On a DVD                      ,Stefano Biondo                                                                                                                                        ,Stefano Biondo. SpÃ©cialiste en ressources documentaires. BibliothÃ¨que Sciendes humaines et sociales. UniversitÃ©  Laval. Phone: 418 656-2131 ext: 11591                                                                                                                                                                                                        ,Adminitsration process                                                                                                                                ,Needs direct agreement from the owner                                                                                                                 ,RESTRICTED                                                                                                                                            ,License agreement                                                                                                                                     ,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect                                                     ,1990,2009
SK_0001,SK,PROV_GOV                      ,Saskatchewan Ministry of Environment                                                                                                                  ,UTM                           ,NA,SK UTM Data dictionary                            ,Geodatabase                   ,12/08/2009                    ,by email                      ,email: Xianhua Kong                                                                                                                                   ,"Xianhua Kong, A / Inventory Forester, Forest Service, Saskatchewan Ministry of Environment, PO Box 3003, PRINCE ALBERTÂ SKÂ S6V 6G1. Phone:Â 306-953-2458Â . Fax.Â 306-953-2360. Email:Â xianhua.kong@gov.sk.ca                                                                                                                                                     ",Direct contact                                                                                                                                        ,Redistribution for BEACON and BAM projects                                                                                                            ,RESTRICTED see comment                                                                                                                                , Agreement                                                                                                                                            ,Included in SIDS                                                                                                                                      ,1985,2001
SK_0004,SK,INDUSTRY                      ,FORSITE - PAFMA                                                                                                                                       ,SFVI                          ,NA,SK UTM Data dictionary                            ,Geodatabase                   ,10/12/2014                    ,FTP site                      ,Shelley Desautels                                                                                                                                     ,Cam Browm. Email : cbrown@forsite.ca                                                                                                                                                                                                                                                                                                                          ,Direct contact                                                                                                                                        ,Needs direct agreement from the owner                                                                                                                 ,RESTRICTED                                                                                                                                            ,License Agreement                                                                                                                                     ,Included in SIDS. In metadata                                                                                                                         ,2000,2000
