INVENTORY_ID,JURISDICTION,OWNER_TYPE,OWNER_NAME,STANDARD_TYPE,STANDARD_VERSION,STANDARD_ID,STANDARD_REVISION,DOCUMENTATION_TITLES,SRC_DATA_FORMAT,PRODUCTION_YEARS,PUBLICATION_DATE,ACQUISITION_PERSON,ACQUISITION_DATE,ACQUISITION_TYPE,ACQUISITION_LINKS,CONTACT_INFO,DATA_AVAILABILITY,REDISTRIBUTION,PERMISSION,LICENSE_AGREEMENT,LICENSE_AGREEMENT_URL,PHOTO_YEAR_SRC,PHOTO_YEAR_START,PHOTO_YEAR_END,TRANSLATED_BY_ULAVAL,TRANSLATED_BY_CFS,TEST,PARALLEL_GROUP,NB_OF_CONVERTED_POLYGONS,COMMENT
AB11,Alberta,PROV_GOV,CROWN_WELWOOD,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_E00,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1987,2001,YES,NO,NO,1,118624,Received under BEEST project
AB12,Alberta,PROV_GOV,CROWN_WEYERHAUSER,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_E00,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1988,2003,NO,NO,NO,1,0,Not used in CASFRI v3. Received under BEEST project
AB13,Alberta,PROV_GOV,CROWN_FIRSTNATION,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_E00,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1987,2000,NO,NO,NO,1,0,Not used in CASFRI v3. Received under BEEST project
AB14,Alberta,INDUSTRY,ALPAC,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_COVERAGE and INFO_TABLE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2/27/2009,DVD,NOT_APPLICABLE,Gido from Timberline Natural resource group,DIRECT_CONTACT,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1988,2000,NO,NO,NO,1,0,Info tables (forest attributes) couldn't be loaded using GDAL. We used a PYTHON script to join the forest attributes to the geometries and exported the output into shapefile. 
AB15,Alberta,INDUSTRY,CALLING_LAKE,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1990,1998,NO,NO,NO,1,0,Not used in CASFRI v3. 
AB16,Alberta,INDUSTRY,CANFOR,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1993,1995,YES,NO,NO,1,120476,
AB17,Alberta,INDUSTRY,DAISHOWA,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,-8886,-8886,NO,NO,NO,1,0,Not used in CASFRI v3. 
AB18,Alberta,INDUSTRY,DMI,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2000,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1988,2003,NO,NO,NO,1,0,Agreement was with Fiona Schmiegelow and Steve Cumming
AB19,Alberta,INDUSTRY,HR_FIRE,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1993,1998,NO,NO,NO,1,0,Not used in CASFRI v3. 
AB20,Alberta,INDUSTRY,SLAVELAKEPULP,AVI,2.1 other,AVI02,other,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2000,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1991,2001,NO,NO,NO,1,0,Agreement was with Fiona Schmiegelow and Steve Cumming
AB21,Alberta,INDUSTRY,TOLKO,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1988,2003,YES,NO,NO,1,338501,
AB22,Alberta,INDUSTRY,WEYCO,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,3/21/2002,UNKNOWN_VALUE,NOT_APPLICABLE,Fiona Schmiegelow,UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1991,2000,NO,NO,NO,1,0,Not used in CASFRI v3. 
AB23,Alberta,INDUSTRY,WEYCO_P3,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_COVERAGE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,-8886,-8886,NO,NO,NO,1,0,Not used in CASFRI v3. 
AB24,Alberta,INDUSTRY,WEYERHAUSER,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1987,2003,YES,NO,NO,1,144881,Agreement was with Fiona Schmiegelow and Steve Cumming
AB25,Alberta,PROV_GOV,CROWN,AVI,2.1 With Revisions,AVI03,With revisions,AVI 2.1 manual,SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,4/22/2012,TEMPORARY_FTP,UNKNOWN_VALUE,"Heather Evans. GIS technologist. Alberta Sustainable Resource Development. > 9820 - 106 Street NW,  Edmonton, Alberta T5K 2J6.  Phone: (780) 427-7374. Email: heather.evans@gov.ab.ca",DIRECT_CONTACT,REQUIRES_AGREEMENT,RESTRICTED,LICENSE_AGREEMENT,NOT_APPLICABLE,SPATIAL_JOIN,1987,2008,YES,NO,NO,1,527038,
AB26,Alberta,INDUSTRY,CENOVUS,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_GEODATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,12/15/2014,FTP,UNKNOWN_VALUE,"Michelle Blouin, Environmental GIS Analyst. Phone: (403) 766-2658, Email: michelle.blouin@cenovus.com",DIRECT_CONTACT,NOT_SPECIFIED,RESTRICTED,EMAIL_AGREEMENT,NOT_APPLICABLE,UNKNOWN_VALUE,-8886,-8886,NO,NO,NO,1,0,
AB27,Alberta,INDUSTRY,ALPAC,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_GEODATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,04/02/2014,DVD,NOT_APPLICABLE,"Dave Cheyne, Management Forester Woodlands. Alberta Pacific Fores Industries Inc. Phone: 780 525-8261. Email: dave.cheyne@alpac.ca",DIRECT_CONTACT,NOT_SPECIFIED,RESTRICTED,EMAIL_AGREEMENT,NOT_APPLICABLE,UNKNOWN_VALUE,-8886,-8886,YES,NO,NO,1,32070,
AB28,Alberta,INDUSTRY,ALPAC,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ACCESS_DATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,04/02/2014,DVD,NOT_APPLICABLE,"Dave Cheyne, Management Forester Woodlands. Alberta Pacific Fores Industries Inc. Phone: 780 525-8261. Email: dave.cheyne@alpac.ca",DIRECT_CONTACT,NOT_SPECIFIED,RESTRICTED,EMAIL_AGREEMENT,NOT_APPLICABLE,UNKNOWN_VALUE,-8886,-8886,NO,NO,NO,1,0,
AB29,Alberta,PROV_GOV,CROWN,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_GEODATABASE and SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,Marc Edwards,21/10/2020,FTP,ftp://ftp.gov.ab.ca/env/IDPS/2010L04.zip,"Linda Smith, Data Distribution Unit, Strategy and Governace Division, Environment and Parks, Provincial Geospatial Centre, 14th Floor, Oxbridge Place, 9820 - 106 Street NW, Edmonton, Alberta T5K 2J6, Phone: (780) 422-0962, email: linda.smith@gov.ab.ca, Fax:     (780) 422-0712, Order Desk email: AEP.Data@gov.ab.ca",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,LICENSE_AGREEMENT,NOT_APPLICABLE,VALUE_PER_STAND,1987,2014,YES,YES,NO,1,620944,Publicly available dataset has to be requested via email. Then signed license agreement and received data via ftp.
AB30,Alberta,PROV_GOV,CROWN,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_GEODATABASE and SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,Marc Edwards,21/10/2020,FTP,ftp://ftp.gov.ab.ca/env/IDPS/2010L04.zip,"Linda Smith, Data Distribution Unit, Strategy and Governace Division, Environment and Parks, Provincial Geospatial Centre, 14th Floor, Oxbridge Place, 9820 - 106 Street NW, Edmonton, Alberta T5K 2J6, Phone: (780) 422-0962, email: linda.smith@gov.ab.ca, Fax:     (780) 422-0712, Order Desk email: AEP.Data@gov.ab.ca",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,LICENSE_AGREEMENT,NOT_APPLICABLE,UNKNOWN_VALUE,-8886,-8886,YES,YES,NO,1,4555,Received with AB29. Post inventory cutblock file. Includes cutblock polygons with year of cut. No other information. No photo year attribute.
AB31,Alberta,INDUSTRY,ALPAC,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_GEODATABASE and SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,30/11/2021,HTTP,"https://www.dropbox.com/s/z4auc0ajr6a103b/Approved_avi_nad28_and_nad83.zip?dl=0, https://www.dropbox.com/s/33lj2lfmt5cgdct/AVI_nad27_missing_maps.zip?dl=0",John Cosco,DIRECT_CONTACT,NOT_SPECIFIED,RESTRICTED,EMAIL_AGREEMENT,NOT_APPLICABLE,SPATIAL_JOIN,1990,2000,YES,NO,NO,1,802933,
AB32,Alberta,INDUSTRY,ALPAC,SAVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_GEODATABASE and SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,Steven G. Cumming,26/11/2021,HTTP,https://www.dropbox.com/s/0hchhmzxipnfyq2/savi_data_fma.zip?dl=0,John Cosco,DIRECT_CONTACT,NOT_SPECIFIED,RESTRICTED,EMAIL_AGREEMENT,NOT_APPLICABLE,SPATIAL_JOIN,2001,2012,YES,NO,NO,1,834245,
AB34,Alberta,PROV_GOV,CROWN,AVI,2.1,AVI01,UNKNOWN_VALUE,AVI 2.1 manual,ESRI_GEODATABASE and SHAPEFILE,UNKNOWN_VALUE,UNKNOWN_VALUE,Melina Houle,06/02/2025,HTTP,https://extranet.gov.ab.ca/srd/geodiscover/srd_pub/biota/AlbertaVegetationInventoryCrown.zip,"Agriculture, Forestry and Rural Economic Development, Government of Alberta, Reforestation, Inventory and Biometrics Section, Forest Stewardship and Trade Branch, J.G. O'Donoghue Building, Suite 303, 7000 113 Street NW, Edmonton, AB, T6H 5T6, AF.FMB-GIS@gov.ab.ca",UNKNOWN_VALUE,REQUIRES_AGREEMENT,RESTRICTED,LICENSE_AGREEMENT,NOT_APPLICABLE,VALUE_PER_STAND,1968,2021,YES,NO,NO,1,3631,
BC01,British Columbia,PROV_GOV,BCGOV FOR Forest Analysis and Inventory Branch,FIP,UNKNOWN_VALUE,FIP01,UNKNOWN_VALUE,FIP data dictionnary,ESRI_GEODATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,Melina Houle,5/14/2012,HTTP,https://catalogue.data.gov.bc.ca/dataset/vri-historical-vegetation-resource-inventory-2002-2018-,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736   ",OPEN_ACCESS,OPEN_WITH_ACKNOWLEDGMENT,UNRESTRICTED,LICENSE_AGREEMENT,NOT_APPLICABLE,VALUE_PER_STAND,1953,2008,NO,NO,NO,2,0,A VRI_FIP equivalent tables are found in the same folder than the documentation.
BC02,British Columbia,PROV_GOV,BCGOV FOR Forest Analysis and Inventory Branch,VRI,UNKNOWN_VALUE,VRI01,UNKNOWN_VALUE,VRI data dictionnary,ESRI_GEODATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,Melina Houle,5/14/2012,HTTP,https://catalogue.data.gov.bc.ca/dataset/vri-historical-vegetation-resource-inventory-2002-2018-,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736   ",OPEN_ACCESS,OPEN_WITH_ACKNOWLEDGMENT,UNRESTRICTED,LICENSE_AGREEMENT,NOT_APPLICABLE,VALUE_PER_STAND,1955,2011,NO,NO,NO,2,0,
BC03,British Columbia,PROV_GOV,BCGOV FOR Forest Analysis and Inventory Branch,I,UNKNOWN_VALUE,BCI01,UNKNOWN_VALUE,UNKNOWN_VALUE,ESRI_GEODATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,Melina Houle,5/14/2012,HTTP,https://catalogue.data.gov.bc.ca/dataset/vri-historical-vegetation-resource-inventory-2002-2018-,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736   ",OPEN_ACCESS,OPEN_WITH_ACKNOWLEDGMENT,UNRESTRICTED,LICENSE_AGREEMENT,NOT_APPLICABLE,VALUE_PER_STAND,-8886,-8886,NO,NO,NO,2,0,Not used in CASFRI v3.  UNKNOWN_VALUE standard
BC04,British Columbia,PROV_GOV,BCGOV FOR Forest Analysis and Inventory Branch,"FIP, VRI, I",UNKNOWN_VALUE,VRI01,UNKNOWN_VALUE,FIP  and VRI data dictionnary,ESRI_GEODATABASE,UNKNOWN_VALUE,UNKNOWN_VALUE,Melina Houle,5/27/2014,HTTP,https://catalogue.data.gov.bc.ca/dataset/vri-historical-vegetation-resource-inventory-2002-2018-,"Tim Salkeld, BCGOV FOR Forest Analysis and Inventory Branch. Email: Tim.Salkeld@gov.bc.ca . Phone number: 250 387-6736   ",OPEN_ACCESS,OPEN_WITH_ACKNOWLEDGMENT,UNRESTRICTED,LICENSE_AGREEMENT,NOT_APPLICABLE,VALUE_PER_STAND,1953,2011,YES,NO,NO,2,4431314,"A VRI_FIP equivalent tables are found in the same folder than the documentation. This inventory only include layer 1. BC04 included all V, F,I standard"
